Product ID,Brand,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD11100,DAS AUDIO,ALTEA-408,10404990," Passive, 150W (RMS) / 600W (Peak), 8”, Two-way, polypropylene enclosure, 90° x 90° horn, black",$252.00,$504.00,$379.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=58853edba28b61d50ddb4fb50f234db3&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_408_408A_34.png&w=330&h=330&fit=1
PROD11101,DAS AUDIO,ALTEA-408-T,10404992," Passive, 150W (RMS) / 600W (Peak), 8”, Two-way, polypropylene enclosure, 90° x 90° horn, w/ multi-tap transformer 70V/100V, black",$328.08,$656.16,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=9854a550a8f5b72d6e7190e43570e14e&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_408_408A_34.png&w=330&h=330&fit=1
PROD11102,DAS AUDIO,ALTEA-408-WR,10404993," Passive, 150W (RMS) / 600W (Peak), 8”, Two-way, weather resistant polypropylene enclosure, 90° x 90° horn, IP54 rating, black",$357.00,$714.00,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=84166e4312e8af8c3abb8b2c3ead9e1e&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_408_408A_34.png&w=330&h=330&fit=1
PROD11103,DAS AUDIO,ALTEA-408-WR-T100,10404994," Passive, 150W (RMS) / 600W (Peak), 8”, Two-way, weather resistant polypropylene enclosure, 90° x 90°, IP54 rating, w/ transformer 70V/100V, black",$433.05,$866.10,,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=58853edba28b61d50ddb4fb50f234db3&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_408_408A_34.png&w=330&h=330&fit=1
PROD11104,DAS AUDIO,ALTEA-412,10404920," Passive 300W (RMS) / 1200W (Peak), 12” Two-way, polypropylene enclosure, 90° x 60°, black",$286.94,$573.87,$410.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=9396e12b5d2028e8e1d7e80255e6893b&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_412_412A_712_712A_34.png&w=330&h=330&fit=1
PROD11105,DAS AUDIO,ALTEA-412-WR,10404923," Passive 300W (RMS) / 1200W (Peak), 12” Two-way, polypropylene enclosure, 90° x 60°, IP54 Rating, black",$552.00,"$1,104.00",,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=136f6734b91556cc0ae9b69f024b48a6&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_412_412A_712_712A_34.png&w=330&h=330&fit=1
PROD11106,DAS AUDIO,ALTEA-415,10404850," Passive 350W (RMS) / 1400W (Peak), 15” Two-way, polypropylene enclosure, 90° x 60°, black",$303.63,$607.26,$434.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=3b5da375fbad5e108f7807942541b0ae&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_415_415A_715_715A_34.png&w=330&h=330&fit=1
PROD11107,DAS AUDIO,ALTEA-712,10404890," Passive 500W (RMS) / 2000W (Peak), 12” Two-way, polypropylene enclosure, 90° x 60°, black",$363.68,$727.35,$520.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=130c30ef62fea3af4bb4aadca43805cc&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_412_412A_712_712A_34.png&w=330&h=330&fit=1
PROD11108,DAS AUDIO,ALTEA-712-WR,10404895," Passive 500W (RMS) / 2000W (Peak), 12” Two-way, polypropylene enclosure, 90° x 60°, IP54 Rating, black",$657.21,"$1,314.42",,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=4c0e96632718154f2aa5408b94369d74&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_412_412A_712_712A_34.png&w=330&h=330&fit=1
PROD11109,DAS AUDIO,ALTEA-712-WR-T100,10404893," Passive 500W (RMS) / 2000W (Peak), 12” Two-way, polypropylene enclosure, 90° x 60°, IP54 rating, w/ transformer 70V/100V, black",$738.42,"$1,476.84",,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=130c30ef62fea3af4bb4aadca43805cc&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_412_412A_712_712A_34.png&w=330&h=330&fit=1
PROD11110,DAS AUDIO,ALTEA-715,10404820," Passive 500W (RMS) / 2000W (Peak), 15” Two-way, polypropylene enclosure, 90° x 60°, black",$393.49,$786.97,$563.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=25f61993d10dddb98859547ac202c3dd&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_415_415A_715_715A_34.png&w=330&h=330&fit=1
PROD11111,DAS AUDIO,ALTEA-718,10404980," Passive 600W (RMS) / 2400W (Peak), 18” ground-stacked, wooden enclosure subwoofer, black",$665.64,"$1,331.28",$951.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=d85671866acfc03203cfaebb782f0ea9&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/8/PF_ALTEA718_718A_34_HR.png&w=330&h=330&fit=1
PROD11112,DAS AUDIO,ALTEA-408A,10404991," Powered, 400W (Cont.) / 800W (Peak) , 8”, 2 way full-range, polypropylene enclosure, 90°x90°, black",$398.00,$796.00,$569.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=e86a8935040bd5f67e2847f029ab5473&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_408_408A_34.png&w=330&h=330&fit=1
PROD11113,DAS AUDIO,ALTEA-412A,10404915," Powered, 400W (Cont.) / 800W (Peak), 12”, 2 way full-range, polypropylene enclosure, 90°x60°, black",$440.40,$880.80,$630.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=9396e12b5d2028e8e1d7e80255e6893b&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_412_412A_712_712A_34.png&w=330&h=330&fit=1
